,exploration_rate,discount_factor,learning_factor,mean_normed_time_left,std_normed_time_left,mean_normed_n_penalties,std_normed_n_penalties,mean_normed_cumulative_reward,std_normed_cumulative_reward,dest_reached_rate
1,0.1,0.1,1.0,0.0539346067821,0.211252304509,0.00816369227994,0.022498981003,0.181269843975,0.290708803672,0.17375
2,0.1,0.1,4.5,0.0284736832612,0.186348882211,0.00793387445887,0.0210387294978,0.15475921627,0.25780620875,0.12125
3,0.1,0.1,8.0,0.0527779545455,0.210217791921,0.00777128968254,0.0217771609714,0.187392872475,0.291080858435,0.17125
4,0.1,0.123076923077,1.0,0.000598616522367,0.142899819499,0.00854771825397,0.0225483430005,0.103742234848,0.206809852019,0.07175
5,0.1,0.123076923077,4.5,0.0277018867244,0.181917670241,0.00789860569986,0.0212539283729,0.154808875361,0.25951546358,0.12725
6,0.1,0.123076923077,8.0,0.0244895238095,0.177341319614,0.00798740800866,0.0216150111691,0.139222701118,0.253618444248,0.1185
7,0.1,0.146153846154,1.0,0.0484001497114,0.20591279958,0.00792468253968,0.0215571494982,0.180058619228,0.287245490045,0.16525
8,0.1,0.146153846154,4.5,0.0800067261905,0.23127634419,0.00736811147186,0.0202151372733,0.227148397367,0.316927062469,0.2255
9,0.1,0.146153846154,8.0,0.017521780303,0.167602060107,0.00843406746032,0.0228556156476,0.14359470689,0.247051268395,0.10725
10,0.1,0.169230769231,1.0,0.0351372691198,0.19026401005,0.00824708152958,0.0213971945617,0.161719827742,0.27214577244,0.141
11,0.1,0.169230769231,4.5,0.0470738528139,0.20180997714,0.00766198232323,0.020977355539,0.180644568001,0.286520645453,0.1675
12,0.1,0.169230769231,8.0,0.072937725469,0.228839830069,0.00803635822511,0.0232135669566,0.220707463023,0.307995994494,0.2105
13,0.1,0.192307692308,1.0,0.0433340836941,0.20009208627,0.00832810064935,0.0239946219258,0.16076588925,0.277559759101,0.15375
14,0.1,0.192307692308,4.5,0.0553652272727,0.212725877246,0.00786298701299,0.0212731625141,0.195273960137,0.294783920448,0.17675
15,0.1,0.192307692308,8.0,0.0248837175325,0.179147758047,0.00873957792208,0.0234091726486,0.138467614538,0.257622619254,0.12025
16,0.1,0.215384615385,1.0,0.0425766955267,0.198397055896,0.00821153138528,0.0225021623423,0.186167848124,0.28410397685,0.157
17,0.1,0.215384615385,4.5,0.0404976569264,0.19503806727,0.00768194083694,0.020048406928,0.161253672439,0.27748166294,0.153
18,0.1,0.215384615385,8.0,0.0612708098846,0.217845161227,0.00808341089466,0.0214980640168,0.188469506674,0.302506786067,0.1865
19,0.1,0.238461538462,1.0,0.0188806818182,0.170274675694,0.00815404761905,0.0215412762824,0.132557412518,0.238018181082,0.10625
20,0.1,0.238461538462,4.5,0.0264802362915,0.177600302317,0.00825701839827,0.0221138800364,0.154323194444,0.258724326957,0.12675
21,0.1,0.238461538462,8.0,0.0452495580808,0.203111621682,0.00808000901876,0.0212446034006,0.162784573413,0.279963009763,0.1535
22,0.1,0.261538461538,1.0,0.0172988311688,0.167762551643,0.0082970472583,0.0226049538454,0.134411539502,0.243106735987,0.1065
23,0.1,0.261538461538,4.5,0.0781548971861,0.232207631227,0.00812540584416,0.0217392424768,0.220866075036,0.309545916635,0.21925
24,0.1,0.261538461538,8.0,0.028935530303,0.185572722007,0.00796660894661,0.0218371229694,0.148733704906,0.2576037822,0.125
25,0.1,0.284615384615,1.0,0.0531825468975,0.211615423259,0.00809327020202,0.0219513336645,0.178192102273,0.28504359916,0.16925
26,0.1,0.284615384615,4.5,0.0202437608225,0.171060558933,0.00819805735931,0.0235625771581,0.129429167569,0.247600985862,0.11075
27,0.1,0.284615384615,8.0,0.0406570634921,0.197316826444,0.00848925865801,0.0216394086092,0.173358253066,0.283040514633,0.15375
28,0.1,0.307692307692,1.0,0.0159918344156,0.164757481702,0.0085384992785,0.0222114349619,0.127067643398,0.244996355293,0.1055
29,0.1,0.307692307692,4.5,0.029697005772,0.183913066697,0.0082019047619,0.0215166843548,0.155832981602,0.26310486355,0.129
30,0.1,0.307692307692,8.0,0.0231902435065,0.176850099621,0.00868266233766,0.0219497531671,0.13620408189,0.249812641257,0.11575
31,0.1,0.330769230769,1.0,-0.00230928932179,0.136264973488,0.00851211940837,0.0222269816165,0.0979644264069,0.202573582234,0.06675
32,0.1,0.330769230769,4.5,0.0178111976912,0.170351792085,0.00855258658009,0.0220072970713,0.133038281926,0.237143980857,0.10275
33,0.1,0.330769230769,8.0,0.0165950847763,0.165335445198,0.00827702922078,0.0219163139805,0.146891719877,0.241807134596,0.1075
34,0.1,0.353846153846,1.0,0.0220383549784,0.177071730535,0.00820528138528,0.0222905638854,0.141923209776,0.246988159616,0.11175
35,0.1,0.353846153846,4.5,0.00226583513709,0.14601670015,0.00856817279942,0.0233613219189,0.109990964105,0.214656312705,0.0755
36,0.1,0.353846153846,8.0,0.0184308838384,0.168316096317,0.00888474206349,0.0244034081585,0.13399388438,0.2478656776,0.1115
37,0.1,0.376923076923,1.0,0.0249681222944,0.17814316737,0.0086041540404,0.0225755235874,0.140223074495,0.249498243326,0.12
38,0.1,0.376923076923,4.5,-0.015015530303,0.113267702852,0.00828746753247,0.0218724715933,0.0745432395382,0.16038007302,0.0395
39,0.1,0.376923076923,8.0,0.044609702381,0.20017137963,0.0099054004329,0.0277199441807,0.16655525974,0.278140458808,0.159
40,0.1,0.4,1.0,0.0487031619769,0.206866496272,0.00857764069264,0.0224656421027,0.177004423701,0.27840049338,0.15875
41,0.1,0.4,4.5,0.0518296230159,0.210207735178,0.00819651154401,0.0219425266047,0.183146179654,0.284556729847,0.16575
42,0.1,0.4,8.0,0.00941247294372,0.157433416845,0.00864992604618,0.0225030528027,0.114912189755,0.221862439925,0.09
43,0.1,0.423076923077,1.0,0.00518149531025,0.150020151526,0.00855368867244,0.0226450439063,0.101047481061,0.209026371466,0.07875
44,0.1,0.423076923077,4.5,0.0474116522367,0.202508956854,0.00873927669553,0.023013297232,0.186426464646,0.287037202467,0.16625
45,0.1,0.423076923077,8.0,0.0674037878788,0.219956681074,0.00825293290043,0.023180521569,0.208887529762,0.309489373631,0.2065
46,0.1,0.446153846154,1.0,0.0390425036075,0.191987026952,0.0086786489899,0.0221351687179,0.162167359307,0.278242705309,0.151
47,0.1,0.446153846154,4.5,0.0281106691919,0.180084093558,0.00826552849928,0.0216846137077,0.144616535895,0.260957889742,0.12725
